Variable:,tasmax
Country:,France
Subnational-unit:,Auvergne
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2002,6.74,9.10,12.07,14.62,16.69,22.76,23.27,22.46,19.67,15.72,10.82,7.81
2003,4.19,5.44,13.39,15.17,18.92,24.50,26.37,27.17,21.64,13.36,10.84,6.54
2004,5.89,7.26,9.59,13.10,17.55,23.36,24.17,23.95,21.69,16.67,8.44,5.27
2005,5.52,3.92,10.62,13.76,18.91,24.76,25.12,23.95,21.30,17.23,8.29,3.73
2006,4.04,4.89,9.54,14.40,18.46,24.21,28.70,21.67,22.89,18.03,12.25,6.31
2007,7.75,9.63,10.83,17.57,18.35,21.62,22.61,22.46,20.12,15.00,8.42,5.59
2008,7.95,9.48,9.39,12.82,18.94,21.72,24.48,23.58,19.37,15.07,8.77,4.89
2009,3.81,6.48,10.96,14.61,19.95,22.77,24.95,26.88,21.78,16.36,11.53,6.35
2010,2.67,5.71,9.75,15.65,16.34,21.83,26.45,23.78,20.39,14.90,8.72,3.64
2011,5.41,7.83,11.95,17.94,21.45,21.88,22.40,24.59,22.91,16.98,11.98,8.25
2012,6.46,3.08,14.16,12.54,19.00,22.03,23.76,26.31,21.28,15.94,10.03,7.20
2013,4.76,4.16,8.72,13.35,14.48,20.47,26.98,24.96,21.25,17.02,8.48,7.16
2014,7.96,8.79,13.03,15.88,17.40,23.61,23.36,22.14,22.65,18.34,12.13,6.44
2015,6.10,5.75,11.17,15.67,18.60,24.13,27.42,25.35,19.70,14.71,11.82,9.18
2016,7.40,8.35,9.83,13.31,17.23,21.15,25.37,25.97,23.36,15.23,10.02,6.53
2017,3.68,9.15,12.93,14.85,19.56,24.95,25.23,25.33,19.37,17.19,9.17,6.12
2018,8.78,4.36,9.63,16.34,18.95,23.32,27.46,26.91,23.77,17.09,10.40,7.98
2019,4.91,9.10,12.69,14.22,16.69,23.71,27.82,26.17,22.47,16.86,9.20,8.85
2020,7.78,10.70,11.60,17.18,20.41,21.43,26.74,26.48,22.77,14.45,11.61,6.94
